additional_services,address,baggage_storage,built_surface_area_m2,city,civil_protection,commercial_units_count,concession_authority,convention_signature_date,daily_passenger_count,exploitation_start_date,financial_institutions,hospitals,hostels,hotels,inter_willaya_taxi_count,local_administration,long_distance_departures_per_day,long_distance_destinations,long_distance_line,medium_distance_departures_per_day,medium_distance_destinations,medium_distance_line,number_of_platforms,nursing_room,parking_spaces,police_security,prayer_room,public_garden,short_distance_destinations,short_distance_line,short_distance_rotations,station_name,surveillance,total_departures,total_surface_area_m2,tourist_sites,urban_shuttle_count,urban_taxi_count,wifi_available
,: route national n 01 commune de Médéa w de Médéa,False,17,Medea,,12,None,,11000,07/10/2012,,,,,80,,00, :,,32,/,06,39,False,10,,False,,,13,387,,False,,,,14,160,False
,: : EL WIAM MECHERIA WILAYA DE NAAMA 45200,False,4770,Mécheria,,8,None,01/11/2011,500,Nos services,,,,,60,,50, /,,68,/,,26,False,1330,,False,,,,,GARE ROUTIERE MECHERIA,False,,,,0,30,False
,: Rue Kebir Mohamed,False,,LARBAA,,7,None,,6000,Nos services,,,,,,,, /,,65,: Sour El-Ghozlène./El-Azazia/ El-Ghelb El-Kebir/ Beni Slimane,,29,False,,,True,,,,250,El-Chahid Tetbirt Mohamed,False,,,,,,False
,,False,,Jijel,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:  Route de meskiana KHENCHELA,False,1500,KHENCHELA,num vert 1021/14,14,None,,820,Date de signature de la convention:,,AHMED BEN BELLA,MAISON DE JEUNE,HOTEL  YOUCEF,80,,20,":  Biskra, Mziraa, Telemcen, oran, Sidi belaabas, Chelef, Laghouat, Hassi messoud, Ouargla, Alger",24,18,": Batna, Constantine, Arris",16,15,False,17500,tel 1548,True,," Oum el Bou agui, Ain beidha",17,30,FERHAT BEN BELKACEM,False,,19000,,00,30,False
,,False,,IN AMENAS,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,IN SALAH,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Hassi bahbah,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Hamam Dalaa,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:   CITE 19 MARS 1962,True,,El oued,//,29,,,900,Nos services,,- administration locale,//,//,150,,150,: /,32,56,: /,83,34,True,1330,Disponible,True,,/,00,00,mojahid ben omor lakhdar,False,,,,00,100,False
,: intersection RN84/RN16,False,1,drean,038.38.88.21,08,None,,3000,Contacts importants,,,,,80,,12,:,01,00,Annaba / Guelma / El Taref,,19,False,,,False,,,32,88,KALI TAHAR DREAN EL TAREF,False,,24,,02,24,False
,,False,,El Hammadia,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Djelfa,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:  Rue D’Aflou El Bayadh,True,600,El Bayadh,"DPC -Direction de la Protection Civile-Wilaya El Bayadh, Route de Petit Mecheria",14,None,01/07/2013,4004,Nos services,,établissement public hospitalier Mohamed-Boudiaf à El-Bayadh,"AUBERGE DE JEUNES EL BAYADH CENTRE VILLE El Bayadh, El Bayadh(32),                                                                     jardin public ; Jardin Public Wiam ; Jardin Public la liberté","Hôtel Fahmi Ksel 01 place emir Abdelkader 32000 Géry ville, Alegria, Hôtel Nadjem Cite Cnep, El Bayadh 32000 Algérie, hôtel bourenane el bayadh",120,ELBAYADH Cité administratif,133,:  : Oran Alger –hassi Massoud- Adrar- sidi belabes- Tiaret- Tlemcen-Bechar- Saida-Laghouat,,61,Bougtoub- Abiodh sidi cheikh-chellala- Bousemghoun-Mechria,,24,False,2,"SURETES DE WILAYA, cité administratif ELBAYADH",True,,: Brizina-Boualem- Sidi amer-Sidi tifour-ghasoul- Rougasa- kaf lahmer-Krekda- Cheguig- Stiten –méhara- Ain orak,136,236,frères  Sayad,False,,05,,,,False
,,False,,DJAMAA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Djamaa,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,: Hammadia chelef ,True,1,Chlef,à côté de la gare,14,None,13/05/2018,4377,Nos services,,hôpital chorfa frères khelif.,zeboudj centre-ville,hôtel MIRADOR,28,,140,Chlef    Jijel -  biskra – Bechar- Annaba-Hassi Messaoud – Ouargla-Batna - -Skikda - Tindouf-Alger-  kolea - Blida-Tamanrasset -  Bousmail-Adrar -  Ilizi-  ElOued-Tébessa -  khenchla-eltaref -  KHnstantine-Oran - Ain Tmouchent-Elkol,25,17,: ,2,24,False,3,centre ville.,True,,,04,84,Karouzi Benabdelah,False,,,,117,34,False
,: : Route National N°18 Ver Ain Bessem Bouira.,False,,Bouira,,18,None,08/06/2021,15000,Nos services,,,//////,,150,DTW,35, Alger/Bejaia/Tizi Ouzou/Bordj Bouraridj,,70, Boumerdes/Rouiba/Sidi Aissa.,,15,False,,,False,,M’chedellah/Ain Bessem/Ahl leksseur/Lakhdaria./Bechloul. /El mezdour/Bir ghbalou,,412,,False,,,,126,30,False
,,False,,Boussaada,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,Cherea,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,BOUHNIFIA,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,,False,,BOUHEDJAR,,,None,,,,,,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,False
,:  Cité le grand Maghreb. Chechar.  KHENCHELA,False,596,CHECHAR,num vert,06,None,08/05/2014,420,Nos services,,,,,00,,03,:  ,,,Khenchla  ,,07,False,,tel,True,,,04,42,,False,,,,00,10,False
